Item_Identifier,Item_Weight,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Years,Item_Fat_Content_0,Item_Fat_Content_1,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Size_3,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Type_Combined_0,Item_Type_Combined_1,Item_Type_Combined_2,Outlet_0,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
FDZ44,8.185,0.038789271,115.6808,OUT049,10,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDV46,18.2,0.012659235,140.718,OUT018,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCO06,19.25,0.108010006,33.3558,OUT035,5,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
DRG03,14.5,0.061934991,154.4998,OUT013,22,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
FDU37,9.5,0.104421237,80.196,OUT013,22,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDI57,19.85,0.053980686,196.8768,OUT013,22,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDM45,8.655,0.088121336,119.7756,OUT013,22,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDC26,10.195,0.126359196,109.2886,OUT035,5,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDU14,17.75,0.034584356,248.375,OUT027,24,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDB26,14,0.031267496,51.464,OUT046,12,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDC29,8.39,0.024304264,114.0176,OUT018,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDY58,11.65,0.040144377,228.9694,OUT017,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDR59,14.5,0.063851475,260.4594,OUT035,5,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDS03,7.825,0.079243005,65.8826,OUT027,24,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDR43,18.2,0.161355122,38.319,OUT013,22,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDZ25,15.7,0.02748331,169.379,OUT027,24,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
NCN26,10.85,0.028738058,117.1808,OUT045,7,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
FDO38,17.25,0.073135768,77.2986,OUT018,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDP28,13.65,0.081096613,261.2936,OUT017,2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDG31,12.15,0.063430788,65.4826,OUT010,11,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDI45,13.1,0.037549969,176.1054,OUT013,22,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
NCS54,13.6,0.016726506,176.037,OUT010,11,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
FDE17,20.1,0.054565932,152.2366,OUT045,7,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
NCG06,16.35,0.029445361,257.6646,OUT046,12,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
FDQ57,7.275,0.048932713,144.476,OUT019,24,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
NCB31,6.235,0.118651919,263.991,OUT035,5,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
NCP29,8.42,0.112728355,65.8168,OUT018,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
NCX29,10,0.156094569,144.3102,OUT019,24,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
FDU37,9.5,0.104933928,78.796,OUT018,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDM02,12.5,0.12341737,86.0198,OUT010,11,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDN16,12.6,0.062700289,102.199,OUT046,12,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDR46,16.85,0.139417654,147.476,OUT046,12,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDE50,19.7,0.01612717,189.3556,OUT027,24,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDL52,6.635,0.077145553,39.8506,OUT010,11,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDQ49,20.2,0.039215075,157.663,OUT013,22,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDI14,14.1,0.089859642,140.2496,OUT045,7,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDS16,15.15,0.066121873,145.676,OUT013,22,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDU15,13.65,0.026643448,37.9532,OUT049,10,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
NCG43,20.2,0.073879939,94.0462,OUT027,24,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
FDR23,15.85,0.08139146,177.837,OUT027,24,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDS52,8.89,0.005448005,102.1016,OUT027,24,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
NCP18,12.15,0.028714747,151.9708,OUT018,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
DRF23,4.61,0.122058364,172.8396,OUT027,24,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
FDO09,13.5,0.125528734,262.191,OUT045,7,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDB40,17.5,0.007555176,145.9102,OUT045,7,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DRK37,5,0.077046505,189.453,OUT019,24,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
DRN11,7.85,0.162980276,145.2444,OUT046,12,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
FDE22,9.695,0.029632784,159.692,OUT045,7,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDF04,17.5,0.013634468,256.4304,OUT035,5,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDE41,9.195,0.064376263,83.1566,OUT017,2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDW08,12.1,0.147663025,106.028,OUT027,24,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
NCD54,21.1,0.029003459,143.4786,OUT035,5,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FDZ33,10.195,0.107834541,146.5076,OUT018,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDO23,17.85,0.146399663,93.8436,OUT035,5,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDN34,15.6,0.04575559,167.1132,OUT035,5,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDL39,16.1,0.063278652,182.1318,OUT013,22,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDT28,13.3,0.063664998,151.6708,OUT049,10,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDH33,12.85,0.122221269,45.9428,OUT018,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDA34,11.5,0.014944614,171.808,OUT017,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDZ56,16.25,0.025732114,166.4474,OUT035,5,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
DRH23,14.65,0.171281641,54.0614,OUT017,2,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
NCO18,13.15,0.024646608,177.4686,OUT035,5,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
DRG27,8.895,0.102240543,42.0138,OUT018,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
FDM28,15.7,0.075661985,181.366,OUT010,11,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NCY41,16.75,0.126765903,35.7532,OUT010,11,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
FDD21,10.3,0.030563449,114.4176,OUT035,5,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDD44,8.05,0.078522357,257.1646,OUT049,10,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDP16,18.6,0.039294854,246.6802,OUT046,12,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDQ37,20.75,0.089260667,193.4478,OUT046,12,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
NCY05,13.5,0.05510153,37.0874,OUT045,7,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
NCE07,8.18,0.013127548,142.0154,OUT035,5,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
DRI51,17.25,0.042233642,173.3764,OUT035,5,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
NCI31,20,0.081492092,35.519,OUT045,7,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
FDK60,16.5,0.082218644,96.2068,OUT046,12,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDY12,9.8,0.14061104,49.8008,OUT046,12,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDO38,17.25,0.072952298,76.0986,OUT049,10,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDP11,15.85,0.069087481,218.7166,OUT035,5,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDC21,14.6,0.075215349,108.4254,OUT019,24,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
NCF54,18,0.047645037,172.6422,OUT017,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
FDC35,7.435,0.122242847,207.5638,OUT027,24,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDV43,16,0.076975118,46.2086,OUT049,10,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
DRE12,4.59,0.070890602,111.686,OUT049,10,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
DRE27,11.85,0.132560174,97.2726,OUT013,22,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
DRC36,13,0.044767032,173.7054,OUT027,24,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
FDZ38,17.6,0.007962273,174.0422,OUT027,24,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
NCW42,18.2,0.058799705,220.7456,OUT017,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
NCZ18,7.825,0.186445212,255.5698,OUT045,7,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
FDL13,13.85,0.098606543,232.73,OUT019,24,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
NCN18,8.895,0.125222705,113.3544,OUT018,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
FDI41,18.5,0.062609071,148.6418,OUT017,2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDV22,14.85,0.009930514,157.463,OUT013,22,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
NCB43,20.2,0.099428487,187.8898,OUT027,24,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
FDQ46,7.51,0.103793399,110.1544,OUT035,5,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDC44,15.6,0.166454146,111.9518,OUT049,10,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDB22,8.02,0.111419588,154.3998,OUT035,5,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDV23,11,0.106051405,124.4046,OUT045,7,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDK10,5.785,0.04016342,181.166,OUT027,24,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDF05,17.5,0.026925385,264.391,OUT045,7,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDL33,7.235,0.099962524,193.8452,OUT046,12,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDD20,14.15,0.020614212,126.4046,OUT027,24,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
NCM54,17.7,0.050692386,125.6678,OUT027,24,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
FDW48,18,0.008589133,81.0618,OUT017,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
DRF36,16.1,0.023673342,189.0846,OUT018,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
NCM06,7.475,0.075881475,155.2656,OUT045,7,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
NCA54,16.5,0.061330521,178.7318,OUT010,11,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
FDT46,11.35,0.030869612,49.8008,OUT045,7,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDH20,16.1,0.024944396,95.441,OUT035,5,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDT38,18.7,0.057654132,83.1566,OUT045,7,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
NCI17,8.645,0.143713508,96.641,OUT045,7,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
FDO40,17.1,0.032812669,147.1392,OUT017,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDP12,9.8,0.045266806,36.9874,OUT046,12,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDI44,16.1,0.099747488,75.2328,OUT027,24,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDB21,7.475,0.144612242,242.9854,OUT027,24,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDG16,15.25,0.089742065,213.7192,OUT013,22,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
NCZ42,10.5,0.011351778,236.5248,OUT017,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
NCJ30,5.82,0.081096613,170.379,OUT017,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
FDV49,10,0.025827199,263.2226,OUT046,12,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
NCO43,5.5,0.045419504,103.1016,OUT045,7,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
NCF18,18.35,0.148938624,191.9504,OUT010,11,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
NCX41,19,0.017291038,211.0244,OUT010,11,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
FDY11,6.71,0.029535852,67.5142,OUT013,22,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDU46,10.3,0.011143599,88.254,OUT049,10,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
NCI18,18.35,0.014045832,222.7746,OUT049,10,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
FDL38,13.8,0.014730322,90.9172,OUT035,5,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDY60,10.5,0.026520107,144.8128,OUT017,2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDF53,20.75,0.083736551,178.7318,OUT049,10,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
NCM05,6.825,0.059557164,263.7226,OUT027,24,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
FDR13,9.895,0.028837829,117.8492,OUT018,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDA49,19.7,0.113669629,89.0198,OUT019,24,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDY52,6.365,0.012865901,59.3536,OUT019,24,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDL02,20,0.182236555,107.1622,OUT019,24,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDO24,11.1,0.176069023,156.7604,OUT013,22,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDM08,10.1,0.053574075,223.7088,OUT035,5,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDJ02,17.2,0.044063785,147.2418,OUT019,24,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDW40,14,0.105573769,143.9812,OUT018,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDT46,11.35,0.030657949,50.5008,OUT027,24,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDY08,9.395,0.172042892,139.9838,OUT017,2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDM21,20.2,0.064052392,256.1646,OUT027,24,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDH26,19.25,0.034531702,142.2496,OUT027,24,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
NCM42,6.13,0.028365524,110.0912,OUT049,10,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
FDW13,8.5,0.097866209,51.1324,OUT035,5,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDN04,11.8,0.01401884,178.1344,OUT027,24,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
NCD07,9.1,0.041583976,114.4518,OUT046,12,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
FDB34,15.25,0.044539371,85.3198,OUT010,11,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDD09,13.5,0.020737046,179.9976,OUT013,22,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
DRH59,10.8,0.056353798,72.338,OUT049,10,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
DRN36,15.2,0.050168354,95.3752,OUT035,5,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
DRA24,19.35,0.040154087,164.6868,OUT017,2,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
FDY36,12.3,0.009364957,74.238,OUT027,24,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDG34,11.5,0.037539164,106.9254,OUT013,22,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDK43,9.8,0.026992588,127.302,OUT017,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
NCM06,7.475,0.076156245,156.4656,OUT017,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
FDK22,9.8,0.026192765,215.685,OUT018,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDF21,10.3,0.058542509,188.353,OUT027,24,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDO33,14.75,0.089686322,115.3518,OUT018,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCO43,5.5,0.047364617,100.0016,OUT017,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
FDX15,17.2,0.156269303,159.6578,OUT035,5,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDS10,19.2,0.035185588,181.3318,OUT046,12,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDD46,6.035,0.247321039,152.3998,OUT019,24,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDV22,14.85,0.009979271,155.763,OUT018,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCR29,7.565,0.054863459,58.393,OUT018,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
FDU34,18.25,0.075620262,123.8046,OUT017,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
